sim_num,N,sim_type,model_type,mse,coverage,ci_length,auc_roc,auc_pr,ppv,rand
9,500,probit,lasso_glm_1se,0.1367857917756353,NA,NA,0.9428787878787879,0.7478725875011243,0.6666666666666666,0.8163265306122449
9,500,probit,lasso_glm_min,0.1305051490483467,NA,NA,0.9472348484848485,0.7676963571307653,0.6721311475409836,0.529795918367347
9,500,probit,ridge_glm_1se,0.02753438733162174,NA,NA,0.9335984848484848,0.7266076459651503,0.5641025641025641,0.6734693877551021
9,500,probit,ridge_glm_min,0.13066503809348928,NA,NA,0.93,0.7244357284188844,0.5555555555555556,0.6734693877551021
8,500,probit,lasso_glm_1se,0.15047079200272603,NA,NA,0.9467976956963741,0.9578150888128616,0.8430034129692833,0.8848979591836734
8,500,probit,lasso_glm_min,0.14626789308402505,NA,NA,0.9484274902777106,0.9584531608109255,0.839041095890411,0.5420408163265307
8,500,probit,ridge_glm_1se,0.028131213756709808,NA,NA,0.9467815591163609,0.9586992745162133,0.8741007194244604,0.6734693877551021
8,500,probit,ridge_glm_min,0.1489387646881624,NA,NA,0.9381807619693082,0.9514654684510739,0.8496503496503497,0.6734693877551021
7,500,probit,lasso_glm_1se,0.10252535052836174,NA,NA,0.9351809319654979,0.9588166214641025,0.8857142857142857,0.7844897959183673
7,500,probit,lasso_glm_min,0.0986987638724796,NA,NA,0.9404719372565031,0.9622462224177248,0.881619937694704,0.6987755102040816
7,500,probit,ridge_glm_1se,0.026523943824407353,NA,NA,0.9439765902788411,0.9650565770435201,0.8959731543624161,0.6734693877551021
7,500,probit,ridge_glm_min,0.0985092103549117,NA,NA,0.9396042804402933,0.9620274290899993,0.8993506493506493,0.6734693877551021
6,500,probit,lasso_glm_1se,0.288900029302718,NA,NA,0.9729600501228339,0.9654737405175031,0.788,0.7542857142857142
6,500,probit,lasso_glm_min,0.2775171499456856,NA,NA,0.973537122223871,0.96491328730145,0.8488888888888889,0.529795918367347
6,500,probit,ridge_glm_1se,0.09575405034331351,NA,NA,0.9614845591993537,0.949301524499367,0.811965811965812,0.6734693877551021
6,500,probit,ridge_glm_min,0.2766728579479196,NA,NA,0.9600995861568646,0.9474933488760603,0.8008474576271186,0.6734693877551021
50,500,probit,lasso_glm_1se,0.07530554590292676,NA,NA,0.9434892602201131,0.9508734328230855,0.8741007194244604,0.96
50,500,probit,lasso_glm_min,0.07147382628537756,NA,NA,0.945777405372307,0.9547607503870413,0.8591549295774648,0.5885714285714285
50,500,probit,ridge_glm_1se,0.011310351874235958,NA,NA,0.9356257754717285,0.9454003776497238,0.8629629629629629,0.6734693877551021
50,500,probit,ridge_glm_min,0.07315933565663714,NA,NA,0.9333376303195347,0.9434515615429186,0.8694029850746269,0.6734693877551021
5,500,probit,lasso_glm_1se,0.07681384436814315,NA,NA,0.868735747260693,0.9875169067978036,0.9394572025052192,0.8497959183673469
5,500,probit,lasso_glm_min,0.06950583175083906,NA,NA,0.9207408643417321,0.9929056986903053,0.968609865470852,0.529795918367347
5,500,probit,ridge_glm_1se,0.03390151464975356,NA,NA,0.9002169197396963,0.9908485565817315,0.9547413793103449,0.6734693877551021
5,500,probit,ridge_glm_min,0.07070320350414334,NA,NA,0.9042215918571667,0.9911704586774478,0.9577777777777777,0.6734693877551021
49,500,probit,lasso_glm_1se,0.1932275325787775,NA,NA,0.9537877595284323,0.9760071533157462,0.9006024096385542,0.7844897959183673
49,500,probit,lasso_glm_min,0.186802262038257,NA,NA,0.959122632103689,0.9785812175506696,0.9233226837060703,0.5885714285714285
49,500,probit,ridge_glm_1se,0.044756502801203274,NA,NA,0.9570936313865421,0.9777291193328534,0.8852941176470588,0.6734693877551021
49,500,probit,ridge_glm_min,0.18739901943076306,NA,NA,0.9514963880288958,0.9736837716421592,0.8925373134328358,0.6734693877551021
48,500,probit,lasso_glm_1se,0.06990175764820326,NA,NA,0.9298041947217708,0.9689480424713287,0.8636363636363636,0.6987755102040816
48,500,probit,lasso_glm_min,0.06750060754483193,NA,NA,0.9341575729432706,0.9709301318545657,0.883289124668435,0.6277551020408163
48,500,probit,ridge_glm_1se,0.015474917142596531,NA,NA,0.9318551195727884,0.9692940322257495,0.875,0.6734693877551021
48,500,probit,ridge_glm_min,0.06716359751760377,NA,NA,0.9387044346412816,0.9728344600531917,0.8861788617886179,0.6734693877551021
47,500,probit,lasso_glm_1se,0.08265417282659053,NA,NA,0.9414261460101867,0.9203101661835488,0.8078817733990148,0.8848979591836734
47,500,probit,lasso_glm_min,0.07941953914660471,NA,NA,0.9425297113752122,0.9189460238261317,0.8090452261306532,0.5714285714285714
47,500,probit,ridge_glm_1se,0.023020774486239938,NA,NA,0.9220203735144312,0.881542196744967,0.7889447236180904,0.6734693877551021
47,500,probit,ridge_glm_min,0.08157977537072901,NA,NA,0.922597623089983,0.8819559836508042,0.7783251231527094,0.6734693877551021
46,500,probit,lasso_glm_1se,0.2587853547486254,NA,NA,0.972020079509467,0.9557341096413907,0.8543689320388349,0.6073469387755102
46,500,probit,lasso_glm_min,0.2554277649157119,NA,NA,0.9673876423421602,0.950661148480418,0.835,0.5102040816326531
46,500,probit,ridge_glm_1se,0.07801005175176734,NA,NA,0.95039080924466,0.9293138152534723,0.8548387096774194,0.6734693877551021
46,500,probit,ridge_glm_min,0.25756298000871425,NA,NA,0.9424230173168924,0.9177537058349171,0.8579545454545454,0.6734693877551021
45,500,probit,lasso_glm_1se,0.10558594840675659,NA,NA,0.9300521878763549,0.9379322537058433,0.8315789473684211,0.8163265306122449
45,500,probit,lasso_glm_min,0.10038508206234145,NA,NA,0.9456924929747089,0.9511367426755868,0.8475177304964538,0.7257142857142858
45,500,probit,ridge_glm_1se,0.025466160609557285,NA,NA,0.9307105580088318,0.9394590326799216,0.8566037735849057,0.6734693877551021
45,500,probit,ridge_glm_min,0.09758409287986762,NA,NA,0.9308711360899238,0.9397367413783376,0.8492647058823529,0.6734693877551021
44,500,probit,lasso_glm_1se,0.10201667864996597,NA,NA,0.9429581019687027,0.9308711682493379,0.84,0.8497959183673469
44,500,probit,lasso_glm_min,0.09921605035871932,NA,NA,0.9474198433505399,0.935389434992721,0.8642533936651584,0.649795918367347
44,500,probit,ridge_glm_1se,0.019205303287306155,NA,NA,0.9440491117226556,0.9302892490682924,0.8811881188118812,0.6734693877551021
44,500,probit,ridge_glm_min,0.09948016213614395,NA,NA,0.9426812785982968,0.9256622460073793,0.8640776699029126,0.6734693877551021
43,500,probit,lasso_glm_1se,0.11647416744116164,NA,NA,0.9078076663047264,0.8058890835303453,0.6201117318435754,0.7844897959183673
43,500,probit,lasso_glm_min,0.11039224982768275,NA,NA,0.9105119747597877,0.8118171843047515,0.6342857142857142,0.5714285714285714
43,500,probit,ridge_glm_1se,0.025559966362973415,NA,NA,0.9073979225994141,0.7979254864551815,0.6451612903225806,0.6734693877551021
43,500,probit,ridge_glm_min,0.10988725510051976,NA,NA,0.8979943045624962,0.7725625841808602,0.6736111111111112,0.6734693877551021
42,500,probit,lasso_glm_1se,0.18621210228039586,NA,NA,0.9737588997551047,0.9809430964934751,0.92,0.8163265306122449
42,500,probit,lasso_glm_min,0.18102997247191294,NA,NA,0.9731912616163091,0.9802986240186918,0.9230769230769231,0.6073469387755102
42,500,probit,ridge_glm_1se,0.05114161237719434,NA,NA,0.9548484406169415,0.9666621222021974,0.9294605809128631,0.6734693877551021
42,500,probit,ridge_glm_min,0.18344426055794483,NA,NA,0.9581083053568822,0.9693655398253369,0.9346153846153846,0.6734693877551021
41,500,probit,lasso_glm_1se,0.09797360661725785,NA,NA,0.9549014527989796,0.9821579289678273,0.9211956521739131,0.8497959183673469
41,500,probit,lasso_glm_min,0.09402081082880748,NA,NA,0.9611391219434425,0.9848026958983841,0.8946015424164524,0.6734693877551021
41,500,probit,ridge_glm_1se,0.013859577273026249,NA,NA,0.9598437593415572,0.9845847986366913,0.8984375,0.6734693877551021
41,500,probit,ridge_glm_min,0.0940332898185221,NA,NA,0.9520715837302457,0.9814803477003475,0.8909090909090909,0.6734693877551021
40,500,probit,lasso_glm_1se,0.17912195408287712,NA,NA,0.9585133045379406,0.978462153012404,0.8788732394366198,0.8848979591836734
40,500,probit,lasso_glm_min,0.17318463238543091,NA,NA,0.9616594678184824,0.9799982562688133,0.8798882681564246,0.6734693877551021
40,500,probit,ridge_glm_1se,0.03120567093128375,NA,NA,0.951118932081978,0.9749660315892604,0.8543956043956044,0.6734693877551021
40,500,probit,ridge_glm_min,0.17252080977204381,NA,NA,0.9559003892710499,0.9771593824449863,0.8781869688385269,0.6734693877551021
4,500,probit,lasso_glm_1se,0.13403709153835452,NA,NA,0.9489846732695181,0.9761422181634727,0.8870523415977961,0.8848979591836734
4,500,probit,lasso_glm_min,0.1293293134793994,NA,NA,0.9596082554086206,0.9813171230196892,0.8787061994609164,0.5885714285714285
