model,algo,N,P,time,fix
binom,svi_1,40000,100,14.597999999998137,P_fix
binom,svi_0,40000,100,20.535000000003492,P_fix
binom,cavi_1,40000,100,5198.040999999997,P_fix
binom,cavi_0,40000,100,5532.200000000012,P_fix
binom,glmnet,40000,100,69.3179999999993,P_fix
linear,cavi_1,40000,100,4.198000000003958,P_fix
linear,cavi_0,40000,100,2.6089999999967404,P_fix
linear,glmnet,40000,100,4.103000000002794,P_fix
binom,svi_1,20000,100,15.817000000010012,P_fix
binom,svi_0,20000,100,22.637000000002445,P_fix
binom,cavi_1,20000,100,1273.1189999999915,P_fix
binom,cavi_0,20000,100,1296.1680000000051,P_fix
binom,glmnet,20000,100,47.61699999999837,P_fix
linear,cavi_1,20000,100,2.14000000001397,P_fix
linear,cavi_0,20000,100,1.5480000000097789,P_fix
linear,glmnet,20000,100,2.069000000003143,P_fix
binom,svi_1,10000,100,14.452000000004773,P_fix
binom,svi_0,10000,100,21.052000000010594,P_fix
binom,cavi_1,10000,100,154.5,P_fix
binom,cavi_0,10000,100,123.74400000000605,P_fix
binom,glmnet,10000,100,26.638999999995576,P_fix
linear,cavi_1,10000,100,1.0789999999979045,P_fix
linear,cavi_0,10000,100,0.7690000000002328,P_fix
linear,glmnet,10000,100,1.110000000000582,P_fix
binom,svi_1,5000,100,13.702000000004773,P_fix
binom,svi_0,5000,100,20.802999999999884,P_fix
binom,cavi_1,5000,100,36.947000000000116,P_fix
binom,cavi_0,5000,100,36.95200000000477,P_fix
binom,glmnet,5000,100,13.513999999995576,P_fix
linear,cavi_1,5000,100,0.5899999999965075,P_fix
linear,cavi_0,5000,100,0.42299999999522697,P_fix
linear,glmnet,5000,100,0.7370000000082655,P_fix
binom,svi_1,1000,100,13.572000000000116,P_fix
binom,svi_0,1000,100,20.778999999994994,P_fix
binom,cavi_1,1000,100,1.2839999999996508,P_fix
binom,cavi_0,1000,100,1.2139999999926658,P_fix
binom,glmnet,1000,100,19.76600000000326,P_fix
linear,cavi_1,1000,100,0.1300000000046566,P_fix
linear,cavi_0,1000,100,0.10900000001129229,P_fix
linear,glmnet,1000,100,0.24199999999837019,P_fix
binom,svi_1,1000,800,649.7419999999984,N_fix
binom,svi_0,1000,800,2830.951000000001,N_fix
binom,cavi_1,1000,800,20.297000000005937,N_fix
binom,cavi_0,1000,800,25.995000000009895,N_fix
binom,glmnet,1000,800,9.031999999991967,N_fix
linear,cavi_1,1000,800,12.28399999999965,N_fix
linear,cavi_0,1000,800,14.09100000000035,N_fix
linear,glmnet,1000,800,15.682999999989988,N_fix
binom,svi_1,1000,600,356.0139999999956,N_fix
binom,svi_0,1000,600,1300.4020000000019,N_fix
binom,cavi_1,1000,600,15.55399999999645,N_fix
binom,cavi_0,1000,600,13.476999999998952,N_fix
binom,glmnet,1000,600,8.669999999998254,N_fix
linear,cavi_1,1000,600,6.73399999999674,N_fix
linear,cavi_0,1000,600,6.515000000006694,N_fix
linear,glmnet,1000,600,6.063999999998487,N_fix
binom,svi_1,1000,400,159.90200000000186,N_fix
binom,svi_0,1000,400,432.150999999998,N_fix
binom,cavi_1,1000,400,6.358000000000175,N_fix
binom,cavi_0,1000,400,6.434999999997672,N_fix
binom,glmnet,1000,400,9.296000000002095,N_fix
linear,cavi_1,1000,400,2.644000000000233,N_fix
linear,cavi_0,1000,400,2.161999999996624,N_fix
linear,glmnet,1000,400,1.7899999999935972,N_fix
binom,svi_1,1000,200,38.34800000000541,N_fix
binom,svi_0,1000,200,75.69000000000233,N_fix
binom,cavi_1,1000,200,3.8510000000023865,N_fix
binom,cavi_0,1000,200,3.0320000000065193,N_fix
binom,glmnet,1000,200,13.413999999997031,N_fix
linear,cavi_1,1000,200,0.5779999999940628,N_fix
linear,cavi_0,1000,200,0.4320000000006985,N_fix
linear,glmnet,1000,200,0.5199999999967986,N_fix
binom,svi_1,1000,100,11.597999999998137,N_fix
binom,svi_0,1000,100,17.661999999996624,N_fix
binom,cavi_1,1000,100,1.0210000000006403,N_fix
binom,cavi_0,1000,100,1.1059999999997672,N_fix
binom,glmnet,1000,100,40.83899999999994,N_fix
linear,cavi_1,1000,100,0.11400000000139698,N_fix
linear,cavi_0,1000,100,0.09799999999813735,N_fix
linear,glmnet,1000,100,0.2190000000045984,N_fix
binom,svi_1,40000,100,14.072999999996682,P_fix
binom,svi_0,40000,100,20.093999999997322,P_fix
binom,cavi_1,40000,100,3790.3339999999953,P_fix
binom,cavi_0,40000,100,3814.589,P_fix
binom,glmnet,40000,100,52.499000000003434,P_fix
linear,cavi_1,40000,100,3.658000000003085,P_fix
linear,cavi_0,40000,100,2.235000000000582,P_fix
linear,glmnet,40000,100,3.4830000000001746,P_fix
binom,svi_1,20000,100,12.532999999995809,P_fix
binom,svi_0,20000,100,18.49199999999837,P_fix
binom,cavi_1,20000,100,481.6449999999968,P_fix
binom,cavi_0,20000,100,449.27700000000186,P_fix
binom,glmnet,20000,100,28.560999999994237,P_fix
linear,cavi_1,20000,100,1.860000000000582,P_fix
linear,cavi_0,20000,100,1.323999999993248,P_fix
linear,glmnet,20000,100,1.8729999999995925,P_fix
binom,svi_1,10000,100,12.000999999996566,P_fix
binom,svi_0,10000,100,18.37199999999575,P_fix
binom,cavi_1,10000,100,110.8640000000014,P_fix
binom,cavi_0,10000,100,110.1359999999986,P_fix
binom,glmnet,10000,100,16.358000000000175,P_fix
linear,cavi_1,10000,100,0.9570000000021537,P_fix
linear,cavi_0,10000,100,0.6750000000029104,P_fix
linear,glmnet,10000,100,0.9909999999945285,P_fix
binom,svi_1,5000,100,12.059999999997672,P_fix
binom,svi_0,5000,100,17.580000000001746,P_fix
